Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
117 S Moore Road,Coppell,TX,75019,Single Family,NEW LISTING,,11/20/2023 2:57:00 PM,1718000,,,5,6,4708,0.312,2023,0,,,https://www.xome.com/homes-for-sale/117-S-Moore-Road-Coppell-TX-75019-386696840,20479631,N,32.96843,-96.97701
101 S Moore Road,Coppell,TX,75019,Single Family,NEW LISTING,,11/20/2023 2:57:00 PM,1690000,,,5,6,4708,0.312,2023,0,,,https://www.xome.com/homes-for-sale/101-S-Moore-Road-Coppell-TX-75019-386696838,20479630,N,32.96888,-96.97699
109 S Moore Road,Coppell,TX,75019,Single Family,NEW LISTING,,11/20/2023 2:57:00 PM,1779000,,,5,6,4903,0.312,2023,0,,,https://www.xome.com/homes-for-sale/109-S-Moore-Road-Coppell-TX-75019-386696837,20479610,N,32.96862,-96.97699
336 N Moore Road,Coppell,TX,75019,Single Family,NEW LISTING,,11/17/2023 2:48:00 PM,475000,,,3,2,1958,0.175,1987,3,11/26/2023 2:00:00 PM,11/26/2023 4:00:00 PM,https://www.xome.com/homes-for-sale/336-N-Moore-Road-Coppell-TX-75019-386640026,20477815,N,32.97918,-96.97727
921 Tupelo Drive,Coppell,TX,75019,Single Family,NEW LISTING,,11/17/2023 8:38:00 AM,368000,,,3,2,1276,0.18,1983,4,,,https://www.xome.com/homes-for-sale/921-Tupelo-Drive-Coppell-TX-75019-386627908,20478069,N,32.96143,-96.96476
352 Timber Ridge Lane,Coppell,TX,75019,Single Family,NEW LISTING,,11/15/2023 6:29:00 PM,420000,,,3,2,1717,0.161,1984,5,,,https://www.xome.com/homes-for-sale/352-Timber-Ridge-Lane-Coppell-TX-75019-386570758,20475431,N,32.96204,-96.96461
672 W Peninsula Drive,Coppell,TX,75019,Single Family,NEW LISTING,,11/15/2023 4:50:00 AM,889000,,,5,4,3848,0.43,1997,6,,,https://www.xome.com/homes-for-sale/672-W-Peninsula-Drive-Coppell-TX-75019-386543519,20469154,N,32.98816,-96.97397
420 Sandy Knoll Drive,Coppell,TX,75019,Single Family,NEW LISTING,,11/14/2023 7:33:00 PM,420000,,,3,2,1642,0.182,1979,6,,,https://www.xome.com/homes-for-sale/420-Sandy-Knoll-Drive-Coppell-TX-75019-386538273,20470589,N,32.96594,-96.98183
657 Raven Lane,Coppell,TX,75019,Single Family,Active,,11/11/2023 11:24:00 AM,500000,,,3,2,1902,0.212,1985,10,,,https://www.xome.com/homes-for-sale/657-Raven-Lane-Coppell-TX-75019-386412562,20475225,N,32.96844,-96.97413
617 Claremont Court,Coppell,TX,75019,Single Family,Active,,11/10/2023 6:54:00 PM,624900,,,4,3,2441,0.146,1998,10,,,https://www.xome.com/homes-for-sale/617-Claremont-Court-Coppell-TX-75019-386402769,20472565,N,32.98849,-96.97926
633 Coats Street,Coppell,TX,75019,Single Family,Active,,11/10/2023 3:09:00 PM,450000,,,3,2,1585,0.143,1985,10,,,https://www.xome.com/homes-for-sale/633-Coats-Street-Coppell-TX-75019-386395510,20449777,N,32.9771,-96.97345
577 Rolling Hills Road,Coppell,TX,75019,Single Family,Active,,11/10/2023 12:54:00 PM,1375000,,,5,4,3909,1.05,1977,10,,,https://www.xome.com/homes-for-sale/577-Rolling-Hills-Road-Coppell-TX-75019-386390321,20460709,N,32.95605,-96.98283
132 Newport,Coppell,TX,75019,Single Family,Active,,11/8/2023 10:25:00 AM,629000,,,3,2,2350,0.5,1993,13,,,https://www.xome.com/homes-for-sale/132-Newport-Coppell-TX-75019-386315506,20472710,N,32.96709,-97.00282
1275 Bradford Drive,Coppell,TX,75019,Single Family,Active,,11/4/2023 1:10:00 PM,735000,,,5,3,3320,0.275,1998,16,,,https://www.xome.com/homes-for-sale/1275-Bradford-Drive-Coppell-TX-75019-385976428,20468448,N,32.96171,-96.95405
516 Halifax Lane,Coppell,TX,75019,Single Family,Active,,11/3/2023 9:25:00 AM,635000,,,3,2,2321,0.184,1990,18,,,https://www.xome.com/homes-for-sale/516-Halifax-Lane-Coppell-TX-75019-385943078,20468872,N,32.96736,-97.00777
101 Sand Point Court,Coppell,TX,75019,Single Family,Active,,11/2/2023 7:09:00 AM,834000,,,4,4,3505,0.155,1993,19,,,https://www.xome.com/homes-for-sale/101-Sand-Point-Court-Coppell-TX-75019-385901057,20453937,N,32.96974,-96.98437
526 Greenwich Lane,Coppell,TX,75019,Single Family,Active,,10/31/2023 10:27:00 PM,525000,,,3,2,1884,0.184,1990,20,,,https://www.xome.com/homes-for-sale/526-Greenwich-Lane-Coppell-TX-75019-385860576,20467258,N,32.96817,-97.00819
230 Samuel Boulevard Unit 7R,Coppell,TX,75019,Condo,Active,,10/26/2023 4:07:00 PM,290000,,,2,2,1221,8.26,1984,25,,,https://www.xome.com/homes-for-sale/230-Samuel-Boulevard-Unit-7R-Coppell-TX-75019-385741569,20452220,N,32.97417,-96.9741
842 Shorewood Drive,Coppell,TX,75019,Single Family,Active,,10/26/2023 11:22:00 AM,950000,,,5,3,3584,0.246,1993,26,,,https://www.xome.com/homes-for-sale/842-Shorewood-Drive-Coppell-TX-75019-385730297,20450035,N,32.97701,-96.96618
1068 Creek Crossing,Coppell,TX,75019,Single Family,Active,,10/23/2023 8:54:00 AM,1090000,,,4,4,4030,1.269,1995,29,,,https://www.xome.com/homes-for-sale/1068-Creek-Crossing-Coppell-TX-75019-385583908,20460341,N,32.97642,-96.95489
1287 Bradford Drive,Coppell,TX,75019,Single Family,Active,,10/20/2023 3:29:00 PM,645000,,,4,3,3239,0.225,1996,31,,,https://www.xome.com/homes-for-sale/1287-Bradford-Drive-Coppell-TX-75019-385549353,20455941,N,32.96197,-96.95351
435 Whispering Hills Drive,Coppell,TX,75019,Single Family,Active,Contingent,10/19/2023 2:59:00 PM,590000,,,4,2,2072,0.22,1987,32,,,https://www.xome.com/homes-for-sale/435-Whispering-Hills-Drive-Coppell-TX-75019-385475136,20458438,N,32.96276,-97.00515
633 Briarglen Drive,Coppell,TX,75019,Single Family,Active,,10/18/2023 11:43:00 AM,1045000,,,4,3,3246,0.578,1984,34,,,https://www.xome.com/homes-for-sale/633-Briarglen-Drive-Coppell-TX-75019-385429453,20457959,N,32.9606,-96.9741
535 Greenwich Lane,Coppell,TX,75019,Single Family,Active,,10/18/2023 6:51:00 AM,885000,,,5,3,2990,0.215,1990,34,,,https://www.xome.com/homes-for-sale/535-Greenwich-Lane-Coppell-TX-75019-385418577,20456923,N,32.96771,-97.00874
114 Manchester Lane,Coppell,TX,75019,Single Family,Active,,10/17/2023 3:34:00 PM,925000,,,5,4,3751,0.289,1998,34,11/26/2023 2:00:00 PM,11/26/2023 4:00:00 PM,https://www.xome.com/homes-for-sale/114-Manchester-Lane-Coppell-TX-75019-385408294,20449204,N,32.97139,-97.0106
933 Deforest Road,Coppell,TX,75019,Single Family,Active,,10/16/2023 9:09:00 AM,1699000,,,4,6,6417,0.42,2004,36,,,https://www.xome.com/homes-for-sale/933-Deforest-Road-Coppell-TX-75019-385363326,20453924,N,32.98564,-96.9604
585 Grace Lane,Coppell,TX,75019,Single Family,Active,,10/12/2023 2:55:00 PM,445000,,,3,2,1561,0.178,1985,39,,,https://www.xome.com/homes-for-sale/585-Grace-Lane-Coppell-TX-75019-385285903,20437132,N,32.97365,-96.97716
516 Oakcrest Drive,Coppell,TX,75019,Single Family,Active,,10/12/2023 12:56:00 PM,590000,,,4,3,2403,0.276,1978,39,,,https://www.xome.com/homes-for-sale/516-Oakcrest-Drive-Coppell-TX-75019-385289467,20453589,N,32.95858,-96.98844
312 Lakewood Court,Coppell,TX,75019,Single Family,Active,,10/10/2023 6:41:00 AM,428500,,,3,3,1650,0.161,1983,42,,,https://www.xome.com/homes-for-sale/312-Lakewood-Court-Coppell-TX-75019-385204506,20451141,N,32.96324,-96.99171
1021 Cherrywood Trail,Coppell,TX,75019,Single Family,Active,,10/7/2023 12:12:00 PM,860000,,,5,5,3683,0.174,1995,44,,,https://www.xome.com/homes-for-sale/1021-Cherrywood-Trail-Coppell-TX-75019-385162665,20448062,N,32.97123,-96.95644
141 Turnberry Lane,Coppell,TX,75019,Single Family,Active,,10/6/2023 11:07:00 PM,499900,,,3,3,2153,0.139,1999,45,,,https://www.xome.com/homes-for-sale/141-Turnberry-Lane-Coppell-TX-75019-385149487,20436215,N,32.99042,-96.99532
533 Lake Forest Drive,Coppell,TX,75019,Single Family,Active,,10/6/2023 8:22:00 AM,449900,,,3,3,1917,0.096,1990,46,,,https://www.xome.com/homes-for-sale/533-Lake-Forest-Drive-Coppell-TX-75019-385125569,20446992,N,32.98162,-96.96851
253 Rosemount Court,Coppell,TX,75019,Single Family,Active,,10/6/2023 8:07:00 AM,1850000,,,5,5,6019,0.459,2002,46,,,https://www.xome.com/homes-for-sale/253-Rosemount-Court-Coppell-TX-75019-385124558,20438293,N,32.95399,-96.99809
236 Beechwood Lane,Coppell,TX,75019,Single Family,Active,,10/6/2023 3:27:00 AM,795000,,,4,3,3017,0.2289,1991,46,11/21/2023 8:00:00 AM,11/21/2023 7:30:00 PM,https://www.xome.com/homes-for-sale/236-Beechwood-Lane-Coppell-TX-75019-385115120,20448637,N,32.97629,-96.98444
770 Windsor Road,Coppell,TX,75019,Single Family,Active,,10/5/2023 10:35:00 AM,849900,,,4,4,3122,0.101,2016,47,,,https://www.xome.com/homes-for-sale/770-Windsor-Road-Coppell-TX-75019-385048118,20447094,N,32.98916,-97.00448
479 Country Lane,Coppell,TX,75019,Single Family,Active,Contingent,9/28/2023 4:22:00 PM,1299000,,,4,4,4484,0.276,1995,53,,,https://www.xome.com/homes-for-sale/479-Country-Lane-Coppell-TX-75019-384829548,20441909,N,32.95844,-96.99689
404 Sandy Knoll Drive,Coppell,TX,75019,Single Family,Active,,9/22/2023 1:35:00 PM,519500,,,3,2,1711,0.161,1979,59,,,https://www.xome.com/homes-for-sale/404-Sandy-Knoll-Drive-Coppell-TX-75019-384662323,20429054,N,32.96527,-96.98183
624 Villawood Lane,Coppell,TX,75019,Single Family,Active,Contingent,9/22/2023 8:05:00 AM,595000,,,3,2,2266,0.235,1983,60,,,https://www.xome.com/homes-for-sale/624-Villawood-Lane-Coppell-TX-75019-384646501,20436783,N,32.96346,-96.97491
424 State Highway 121,Coppell,TX,75019,Land,Active,,9/15/2023 12:47:00 PM,2558061,,,,,,2.629,,66,,,https://www.xome.com/landlots-for-sale/424-State-Highway-121-Coppell-TX-75019-384459759,20432683,N,32.9892,-96.99811
370 Vista Ridge Boulevard,Coppell,TX,75019,Land,Active,,9/15/2023 12:32:00 PM,1125590,,,,,,1.615,,66,,,https://www.xome.com/landlots-for-sale/370-Vista-Ridge-Boulevard-Coppell-TX-75019-384459156,20432662,N,32.98624,-96.98489
539 Hawken Drive,Coppell,TX,75019,Single Family,Active,,9/9/2023 8:20:00 PM,560000,,,3,3,2094,0.104,2001,72,,,https://www.xome.com/homes-for-sale/539-Hawken-Drive-Coppell-TX-75019-384298240,20428103,N,32.96239,-97.00819
716 Snowshill Trail,Coppell,TX,75019,Townhouse,Active,,9/7/2023 1:04:00 AM,565000,,,4,4,3001,0.074,2007,75,,,https://www.xome.com/homes-for-sale/716-Snowshill-Trail-Coppell-TX-75019-384194233,20425779,N,32.98993,-96.97289
735 Woodlake Drive,Coppell,TX,75019,Single Family,Active,,8/17/2023 7:17:00 PM,489000,,,3,3,1717,0.103,1990,95,,,https://www.xome.com/homes-for-sale/735-Woodlake-Drive-Coppell-TX-75019-383655161,20410322,N,32.98072,-96.96656
421 Kaye Street,Coppell,TX,75019,Single Family,Active,,8/10/2023 8:24:00 AM,725000,,,5,4,3397,0.442,1955,103,,,https://www.xome.com/homes-for-sale/421-Kaye-Street-Coppell-TX-75019-383255825,20396103,N,32.9602,-97.00569
1322 Bradford Drive,Coppell,TX,75019,Single Family,Active,,8/3/2023 2:26:00 PM,675000,,,4,3,3238,0.184,1997,109,,,https://www.xome.com/homes-for-sale/1322-Bradford-Drive-Coppell-TX-75019-383047994,20393600,N,32.96257,-96.95197
157 Cottonwood Drive,Coppell,TX,75019,Single Family,Active,,7/27/2023 3:16:00 PM,2650000,,,6,7,5998,8.03,1988,116,,,https://www.xome.com/homes-for-sale/157-Cottonwood-Drive-Coppell-TX-75019-382845185,20392779,N,32.97459,-97.00345
253 Pinyon Lane,Coppell,TX,75019,Single Family,Active,,7/26/2023 5:30:00 PM,430000,,,3,2,1426,0.17,1985,117,,,https://www.xome.com/homes-for-sale/253-Pinyon-Lane-Coppell-TX-75019-382805719,20391609,N,32.96459,-96.9621
248 Sleepy Hollow Lane,Coppell,TX,75019,Single Family,Active,,7/24/2023 1:45:00 PM,799999,,,5,4,3756,0.24,1995,119,,,https://www.xome.com/homes-for-sale/248-Sleepy-Hollow-Lane-Coppell-TX-75019-382736027,20383630,N,32.97545,-96.98698
149 Cottonwood Drive,Coppell,TX,75019,Single Family,Active,,7/6/2023 9:19:00 AM,2900000,,,6,8,7391,5.113,1994,138,,,https://www.xome.com/homes-for-sale/149-Cottonwood-Drive-Coppell-TX-75019-382197177,20373725,N,32.97408,-97.00385
238 Pinyon Lane,Coppell,TX,75019,Single Family,Active,,6/19/2023 11:06:00 AM,425000,,,3,2,1794,0.161,1986,155,,,https://www.xome.com/homes-for-sale/238-Pinyon-Lane-Coppell-TX-75019-381737519,20359671,N,32.96585,-96.9614
710 Mockingbird Lane,Coppell,TX,75019,Land,Active,,6/7/2023 9:25:00 PM,650000,,,,,,1.087,,166,,,https://www.xome.com/landlots-for-sale/710-Mockingbird-Lane-Coppell-TX-75019-381379858,20350297,N,32.95531,-96.96716
132 Spyglass Drive,Coppell,TX,75019,Single Family,Active,,6/7/2023 11:11:00 AM,1050000,,,5,4,4191,0.275,1993,167,,,https://www.xome.com/homes-for-sale/132-Spyglass-Drive-Coppell-TX-75019-381365262,20341819,N,32.97365,-96.96351
154 Washington Court,Coppell,TX,75019,Single Family,Active,,5/23/2023 7:09:00 AM,1650000,,,5,5,4337,0.473,2012,182,12/2/2023 12:00:00 PM,12/2/2023 3:00:00 PM,https://www.xome.com/homes-for-sale/154-Washington-Court-Coppell-TX-75019-380857051,20330317,N,32.96276,-96.99609
Tbd 121 Bypass,Coppell,TX,75019,Land,Active,,3/15/2023 8:56:00 AM,1476000,,,,,,1.3,,251,,,https://www.xome.com/landlots-for-sale/Tbd-121-Bypass-Coppell-TX-75019-378644741,20280230,N,32.98661,-96.99222
540 W Bethel Road,Coppell,TX,75019,Single Family,Active,,3/13/2023 6:33:00 AM,670000,,,3,2,1298,0.32,1959,253,,,https://www.xome.com/homes-for-sale/540-W-Bethel-Road-Coppell-TX-75019-378590327,20278285,N,32.95502,-97.00868